Number of nodes, Int Tree height, Double Tree Height
50, 11, 9
100, 15, 12
150, 22, 13
200, 25, 13
250, 32, 15
300, 37, 15
350, 41, 16
400, 47, 16
450, 52, 16
500, 56, 17
550, 64, 17
600, 75, 17
650, 80, 18
700, 89, 18
750, 98, 18
800, 105, 18
850, 109, 18
900, 112, 18
950, 116, 18
1000, 122, 19
1050, 125, 19
1100, 129, 19
1150, 138, 19
1200, 144, 20
1250, 150, 21
1300, 153, 21
1350, 161, 21
1400, 168, 21
1450, 177, 21
1500, 183, 21
1550, 188, 21
1600, 196, 21
1650, 201, 21
1700, 207, 21
1750, 209, 21
1800, 213, 21
1850, 215, 21
1900, 222, 21
1950, 228, 22
2000, 233, 23
2050, 235, 23
2100, 240, 23
2150, 246, 23
2200, 251, 23
2250, 255, 23
2300, 260, 23
2350, 265, 23
2400, 270, 23
2450, 275, 23
2500, 278, 23
2550, 279, 23
2600, 288, 23
2650, 292, 23
2700, 299, 23
2750, 306, 23
2800, 308, 23
2850, 314, 23
2900, 323, 24
2950, 328, 24
3000, 332, 24
3050, 336, 24
3100, 340, 24
3150, 343, 24
3200, 348, 24
3250, 351, 24
3300, 355, 24
3350, 360, 24
3400, 369, 24
3450, 375, 24
3500, 382, 24
3550, 390, 24
3600, 392, 24
3650, 395, 24
3700, 400, 24
3750, 404, 24
3800, 410, 24
3850, 420, 24
3900, 424, 24
3950, 434, 24
4000, 436, 24
4050, 438, 24
4100, 446, 24
4150, 451, 24
4200, 457, 24
4250, 461, 24
4300, 465, 24
4350, 470, 24
4400, 478, 24
4450, 486, 24
4500, 488, 24
4550, 492, 25
4600, 494, 25
4650, 498, 25
4700, 505, 25
4750, 510, 25
4800, 514, 25
4850, 519, 25
4900, 524, 25
4950, 528, 25
5000, 535, 25
5050, 544, 25
5100, 550, 25
5150, 556, 25
5200, 566, 25
5250, 570, 25
5300, 573, 25
5350, 577, 25
5400, 582, 25
5450, 588, 25
5500, 592, 25
5550, 601, 25
5600, 610, 25
5650, 611, 25
5700, 615, 26
5750, 620, 27
5800, 624, 27
5850, 630, 27
5900, 635, 27
5950, 640, 27
6000, 643, 27
6050, 644, 27
6100, 647, 27
6150, 651, 27
6200, 654, 27
6250, 658, 27
6300, 663, 27
6350, 667, 27
6400, 669, 27
6450, 673, 27
6500, 680, 27
6550, 685, 27
6600, 689, 27
6650, 693, 27
6700, 698, 27
6750, 704, 27
6800, 707, 27
6850, 713, 27
6900, 720, 27
6950, 726, 27
7000, 730, 27
7050, 737, 27
7100, 743, 27
7150, 746, 27
7200, 751, 27
7250, 756, 27
7300, 762, 27
7350, 769, 27
7400, 772, 27
7450, 778, 27
7500, 784, 27
7550, 790, 27
7600, 792, 27
7650, 797, 27
7700, 801, 27
7750, 806, 27
7800, 813, 27
7850, 819, 27
7900, 822, 27
7950, 829, 27
8000, 835, 28
8050, 840, 28
8100, 847, 28
8150, 849, 28
8200, 855, 28
8250, 856, 28
8300, 858, 28
8350, 865, 28
8400, 872, 28
8450, 874, 28
8500, 880, 28
8550, 884, 28
8600, 888, 28
8650, 892, 28
8700, 900, 28
8750, 906, 28
8800, 914, 28
8850, 917, 28
8900, 921, 28
8950, 926, 28
9000, 933, 28
9050, 942, 28
9100, 946, 28
9150, 957, 28
9200, 964, 28
9250, 969, 28
9300, 974, 28
9350, 975, 28
9400, 978, 28
9450, 982, 28
9500, 987, 28
9550, 993, 28
9600, 996, 28
9650, 1003, 28
9700, 1008, 29
9750, 1014, 29
9800, 1020, 29
9850, 1024, 29
9900, 1027, 29
9950, 1035, 29
10000, 1040, 29
10050, 1050, 29
10100, 1059, 29
10150, 1061, 29
10200, 1066, 29
10250, 1069, 29
10300, 1076, 29
10350, 1083, 29
10400, 1087, 29
10450, 1094, 29
10500, 1103, 29
10550, 1111, 29
10600, 1117, 29
10650, 1126, 29
10700, 1132, 29
10750, 1136, 29
10800, 1142, 29
10850, 1147, 29
10900, 1155, 29
10950, 1161, 29
11000, 1164, 29
11050, 1174, 29
11100, 1178, 29
11150, 1183, 29
