Size, qsortdouble, msortdouble, qsortint, msortint
50000, 0.075314,0.009332,0.073126,0.007824,
100000, 0.147049,0.019213,0.146053,0.017385,
150000, 0.220611,0.029080,0.217944,0.026524,
200000, 0.297949,0.041863,0.295970,0.035775,
250000, 0.370996,0.049513,0.372482,0.044058,
300000, 0.441127,0.060323,0.440663,0.055522,
350000, 0.515537,0.071654,0.512064,0.066378,
400000, 0.587743,0.082295,0.588132,0.072285,
450000, 0.664082,0.091841,0.665774,0.084775,
500000, 0.737103,0.103893,0.735671,0.094181,
550000, 0.807791,0.114143,0.808509,0.105515,
600000, 0.886924,0.131401,0.885499,0.116263,
650000, 0.964177,0.138931,0.963002,0.124292,
700000, 1.033705,0.149934,1.044849,0.135185,
750000, 1.111898,0.160068,1.111652,0.143805,
800000, 1.197108,0.170265,1.190077,0.154831,
850000, 1.253696,0.181559,1.260933,0.165059,
900000, 1.338069,0.192343,1.339735,0.175964,
950000, 1.411515,0.203484,1.412464,0.187482,
1000000, 1.478208,0.216556,1.492523,0.197195,
